代码,日期,MA5,MA10,MA20,MA60,SMA差值5-20,SMA差值5-20(%),SMA差值5-10,多空排列
159530,2025-06-27,1.2596,1.2427,1.24605,1.254633,0.01355,1.0874,0.0169,弱势多头
159530,2025-06-26,1.246,1.2387,1.2457,1.255783,0.0003,0.0241,0.0073,弱势多头
159530,2025-06-25,1.2376,1.2366,1.2444,1.2571,-0.0068,-0.5464,0.001,弱势多头
159530,2025-06-24,1.228,1.2333,1.2429,1.258267,-0.0149,-1.1988,-0.0053,强势空头排列
159530,2025-06-23,1.2206,1.232,1.2436,1.25965,-0.023,-1.8495,-0.0114,强势空头排列
159530,2025-06-20,1.2258,1.238,1.2469,1.262367,-0.0211,-1.6922,-0.0122,强势空头排列
159530,2025-06-19,1.2314,1.2435,1.2511,1.265383,-0.0197,-1.5746,-0.0121,强势空头排列
159530,2025-06-18,1.2356,1.2471,1.2543,1.268683,-0.0187,-1.4909,-0.0115,强势空头排列
159530,2025-06-17,1.2386,1.2483,1.25775,1.272033,-0.01915,-1.5226,-0.0097,强势空头排列
159530,2025-06-16,1.2434,1.2492,1.2618,1.275667,-0.0184,-1.4582,-0.0058,强势空头排列
159530,2025-06-13,1.2502,1.2494,1.26605,1.278933,-0.01585,-1.2519,0.0008,弱势多头
159530,2025-06-12,1.2556,1.2527,1.27005,,-0.01445,-1.1378,0.0029,弱势多头
159530,2025-06-11,1.2586,1.2522,1.2743,,-0.0157,-1.232,0.0064,弱势多头
159530,2025-06-10,1.258,1.2525,1.27885,,-0.02085,-1.6304,0.0055,弱势多头
159530,2025-06-09,1.255,1.2552,1.2845,,-0.0295,-2.2966,-0.0002,中期空头排列
159530,2025-06-06,1.2486,1.2558,1.28665,,-0.03805,-2.9573,-0.0072,中期空头排列
159530,2025-06-05,1.2498,1.2587,1.29035,,-0.04055,-3.1426,-0.0089,中期空头排列
159530,2025-06-04,1.2458,1.2615,1.2929,,-0.0471,-3.643,-0.0157,中期空头排列
159530,2025-06-03,1.247,1.2672,1.29635,,-0.04935,-3.8068,-0.0202,中期空头排列
159530,2025-05-30,1.2554,1.2744,1.2988,,-0.0434,-3.3415,-0.019,中期空头排列
159530,2025-05-29,1.263,1.2827,1.299,,-0.036,-2.7714,-0.0197,中期空头排列
159530,2025-05-28,1.2676,1.2874,1.2969,,-0.0293,-2.2592,-0.0198,中期空头排列
159530,2025-05-27,1.2772,1.2964,1.29685,,-0.01965,-1.5152,-0.0192,中期空头排列
159530,2025-05-26,1.2874,1.3052,1.2964,,-0.009,-0.6942,-0.0178,弱势空头
159530,2025-05-23,1.2934,1.3138,1.2957,,-0.0023,-0.1775,-0.0204,弱势空头
159530,2025-05-22,1.3024,1.3175,1.29245,,0.00995,0.7699,-0.0151,弱势空头
159530,2025-05-21,1.3072,1.322,1.2891,,0.0181,1.4041,-0.0148,弱势空头
159530,2025-05-20,1.3156,1.3243,1.2832,,0.0324,2.5249,-0.0087,弱势空头
159530,2025-05-19,1.323,1.3255,1.2769,,0.0461,3.6103,-0.0025,弱势空头
159530,2025-05-16,1.3342,1.3232,1.2708,,0.0634,4.989,0.011,中期多头排列
