代码,日期,MA5,MA10,MA20,MA60,SMA差值5-20,SMA差值5-20(%),SMA差值5-10
515170,2025-06-27,0.5608,0.56,0.5703,0.585767,-0.0095,-1.6658,0.0008
515170,2025-06-26,0.561,0.56,0.57185,0.586333,-0.01085,-1.8974,0.001
515170,2025-06-25,0.5594,0.561,0.5733,0.586933,-0.0139,-2.4246,-0.0016
515170,2025-06-24,0.559,0.5627,0.5745,0.587433,-0.0155,-2.698,-0.0037
515170,2025-06-23,0.5586,0.5645,0.5758,0.588,-0.0172,-2.9871,-0.0059
515170,2025-06-20,0.5592,0.5672,0.57745,0.588617,-0.01825,-3.1604,-0.008
515170,2025-06-19,0.559,0.5697,0.57905,0.589133,-0.02005,-3.4626,-0.0107
515170,2025-06-18,0.5626,0.5727,0.581,0.5899,-0.0184,-3.167,-0.0101
515170,2025-06-17,0.5664,0.5753,0.58265,0.590717,-0.01625,-2.789,-0.0089
515170,2025-06-16,0.5704,0.5779,0.58425,0.591633,-0.01385,-2.3706,-0.0075
515170,2025-06-13,0.5752,0.5806,0.586,0.5926,-0.0108,-1.843,-0.0054
515170,2025-06-12,0.5804,0.5837,0.58805,0.593583,-0.00765,-1.3009,-0.0033
515170,2025-06-11,0.5828,0.5856,0.58955,0.59385,-0.00675,-1.1449,-0.0028
515170,2025-06-10,0.5842,0.5863,0.5903,0.594017,-0.0061,-1.0334,-0.0021
515170,2025-06-09,0.5854,0.5871,0.59115,0.594267,-0.00575,-0.9727,-0.0017
515170,2025-06-06,0.586,0.5877,0.59165,0.594217,-0.00565,-0.955,-0.0017
515170,2025-06-05,0.587,0.5884,0.59205,0.594183,-0.00505,-0.853,-0.0014
515170,2025-06-04,0.5884,0.5893,0.5924,0.59405,-0.004,-0.6752,-0.0009
515170,2025-06-03,0.5884,0.59,0.59255,0.59375,-0.00415,-0.7004,-0.0016
515170,2025-05-30,0.5888,0.5906,0.5927,0.5935,-0.0039,-0.658,-0.0018
515170,2025-05-29,0.5894,0.5914,0.59265,0.59335,-0.00325,-0.5484,-0.002
515170,2025-05-28,0.5898,0.5924,0.5926,0.593133,-0.0028,-0.4725,-0.0026
515170,2025-05-27,0.5902,0.5935,0.59255,0.592917,-0.00235,-0.3966,-0.0033
515170,2025-05-26,0.5916,0.5943,0.59285,0.592567,-0.00125,-0.2108,-0.0027
515170,2025-05-23,0.5924,0.5952,0.5932,0.592117,-0.0008,-0.1349,-0.0028
515170,2025-05-22,0.5934,0.5956,0.5935,0.591783,-0.0001,-0.0168,-0.0022
515170,2025-05-21,0.595,0.5957,0.5936,0.591367,0.0014,0.2358,-0.0007
515170,2025-05-20,0.5968,0.5955,0.59385,0.5909,0.00295,0.4968,0.0013
515170,2025-05-19,0.597,0.5951,0.59435,0.590467,0.00265,0.4459,0.0019
515170,2025-05-16,0.598,0.5948,0.59485,0.59,0.00315,0.5295,0.0032
515170,2025-05-15,0.5978,0.5939,0.595,0.589567,0.0028,0.4706,0.0039
515170,2025-05-14,0.5964,0.5928,0.59475,0.589017,0.00165,0.2774,0.0036
515170,2025-05-13,0.5942,0.5916,0.5945,0.58845,-0.0003,-0.0505,0.0026
515170,2025-05-12,0.5932,0.5914,0.5949,0.587833,-0.0017,-0.2858,0.0018
