date,code,ema_fast,ema_slow,dif,dea,macd_bar,calc_time
2025-06-27,561230,1.083242,1.082341,0.0009,0.00064,0.000522,2025-06-29 17:12:57
2025-06-26,561230,1.083115,1.082234,0.000881,0.000574,0.000613,2025-06-29 17:12:57
2025-06-25,561230,1.082112,1.081712,0.000399,0.000498,-0.000197,2025-06-29 17:12:57
2025-06-24,561230,1.080566,1.080959,-0.000393,0.000522,-0.001831,2025-06-29 17:12:57
2025-06-23,561230,1.080006,1.080715,-0.000709,0.000751,-0.002919,2025-06-29 17:12:57
2025-06-20,561230,1.080681,1.081072,-0.00039,0.001116,-0.003013,2025-06-29 17:12:57
2025-06-19,561230,1.081648,1.08155,9.8e-05,0.001493,-0.00279,2025-06-29 17:12:57
2025-06-18,561230,1.083045,1.082207,0.000838,0.001842,-0.002006,2025-06-29 17:12:57
2025-06-17,561230,1.083518,1.082387,0.001131,0.002092,-0.001922,2025-06-29 17:12:57
2025-06-16,561230,1.083935,1.082525,0.00141,0.002333,-0.001845,2025-06-29 17:12:57
2025-06-13,561230,1.08429,1.082618,0.001671,0.002563,-0.001784,2025-06-29 17:12:57
2025-06-12,561230,1.084792,1.082769,0.002024,0.002786,-0.001525,2025-06-29 17:12:57
2025-06-11,561230,1.084594,1.082568,0.002026,0.002977,-0.001902,2025-06-29 17:12:57
2025-06-10,561230,1.084158,1.082255,0.001903,0.003214,-0.002623,2025-06-29 17:12:57
2025-06-09,561230,1.085078,1.082591,0.002487,0.003542,-0.00211,2025-06-29 17:12:57
2025-06-06,561230,1.08556,1.082688,0.002872,0.003806,-0.001868,2025-06-29 17:12:57
2025-06-05,561230,1.085771,1.082637,0.003134,0.00404,-0.00181,2025-06-29 17:12:57
2025-06-04,561230,1.086114,1.082635,0.00348,0.004266,-0.001572,2025-06-29 17:12:57
2025-06-03,561230,1.086495,1.082632,0.003864,0.004462,-0.001198,2025-06-29 17:12:57
2025-05-30,561230,1.087135,1.082732,0.004404,0.004612,-0.000417,2025-06-29 17:12:57
2025-05-29,561230,1.08763,1.082734,0.004896,0.004664,0.000463,2025-06-29 17:12:57
2025-05-28,561230,1.087855,1.082583,0.005272,0.004606,0.001331,2025-06-29 17:12:57
2025-05-27,561230,1.088537,1.082629,0.005908,0.00444,0.002937,2025-06-29 17:12:57
2025-05-26,561230,1.089079,1.082575,0.006505,0.004073,0.004864,2025-06-29 17:12:57
2025-05-23,561230,1.088925,1.082159,0.006766,0.003465,0.006602,2025-06-29 17:12:57
2025-05-22,561230,1.087673,1.08121,0.006463,0.00264,0.007647,2025-06-29 17:12:57
